BCT2020,Population
3024500,4257
3024600,3436
3024700,2820
3024800,2647
3024900,4264
3025000,1748
3025100,4209
3025200,5300
3025300,3517
3025400,3650
3025500,4799
3025600,3366
3025700,2822
3025800,5073
3025901,2328
3025902,3560
3026000,3656
3026100,6479
3026200,2726
3026300,2088
3026400,5103
3026500,4385
3026600,3961
3026700,4228
3026800,4686
3026900,3005
3027000,2719
3027100,3493
3027200,3633
3027300,3131
3027400,3272
3027500,4071
3027600,3886
3027700,4351
3027800,3542
3027900,3674
3028000,1862
3028100,4800
3028200,3282
3028300,3933
3028400,4396
3028501,636
3028502,2658
3028600,6094
3028700,3103
3028800,3900
3028900,3933
3029000,4377
3029100,3042
3029200,2781
3029300,3402
3029400,2298
3029500,3851
3029600,5993
3029700,3921
3029800,3955
3029900,2496
3030000,4224
3030100,2970
3030200,4391
3030300,4952
3030400,4686
3030500,7249
3030600,2215
3030700,5625
3030800,2314
3030900,2209
3031100,3191
3031300,5109
3031401,5142
3031402,0
3031500,5613
3031701,3999
3031702,3714
3031900,3452
3032100,5488
3032300,3509
3032500,6218
3032600,7075
3032700,3074
3032800,3090
3032900,5707
3033000,4423
3033100,4217
3033300,4503
3033500,3231
3033600,4765
3033701,2510
3033702,2116
3033900,4676
3034000,1958
3034100,2685
3034200,7060
3034300,5024
3034500,2738
3034700,3645
3034800,2828
3034901,2067
3034902,3347
3035000,3082
3035101,2243
3035102,2626
3035200,1367
3035301,2566
3035302,2811
3035400,5493
3035500,5192
3035601,2902
3035602,5474
3035701,2322
3035702,15
3035900,5617
3036001,3387
3036002,4203
3036100,2964
3036200,4140
3036300,5385
3036400,3006
3036501,2959
3036502,1902
3036600,4681
3036700,1796
3036900,6136
3037000,4750
3037100,4503
3037300,4385
3037401,4696
3037402,5367
3037500,3809
3037700,3970
3037900,3851
3038100,5313
3038200,5882
3038300,4338
3038500,3969
3038600,3812
3038700,4908
3038800,4047
3038900,3570
3039000,2321
3039100,5776
3039200,2908
3039300,4141
3039400,2187
3039500,4030
3039600,1948
3039700,3868
3039800,2841
3039900,4378
3040000,3281
3040100,3778
3040200,3025
3040300,3892
3040400,2812
3040500,1829
3040600,3599
3040700,6
3040800,3933
3040900,3800
3041000,2136
3041100,3332
3041200,3375
3041300,3951
3041401,1480
3041402,1855
3041500,4032
3041600,2112
3041700,3348
3041800,2645
3041900,3880
3042000,1912
3042100,4866
3042200,3663
3042300,4566
3042400,4175
3042500,3026
3042600,4350
3042700,4920
3042800,4290
3042900,5556
3043000,3842
3043100,4884
3043200,4514
3043300,3843
3043400,3866
3043500,4709
3043600,4694
3043700,5282
3043800,2905
3043900,4097
3044000,2878
3044100,5526
3044200,2631
3044300,5195
3044400,3260
3044500,4207
3044600,2026
3044700,2459
3044800,1965
3044901,2694
3044902,44
3045000,645
3045200,2618
3045300,1886
3045400,2036
3045600,2767
3045800,1558
3046000,3828
3046201,2700
3046202,1891
3046400,2732
3046800,2138
3047000,2823
3047200,3099
3047400,3232
3047600,4054
3047700,4226
3047800,5308
3048000,3824
3048100,3105
3048200,6122
3048400,5922
3048500,2470
3048600,3597
3048800,4536
3048900,3757
3049000,6036
3049100,6366
3049200,3366
3049301,1897
3049302,5476
3049400,5527
3049500,3114
3049600,4646
3049700,3141
3049800,4517
3049900,2147
3050001,2062
3050002,1607
3050100,2951
3050202,2312
3050300,2759
3050401,2997
3050402,2004
3050500,4567
3050600,5612
3050700,3545
3050801,4311
3050803,2548
3050804,6196
3050900,5112
3051001,3740
3051002,4600
3051100,4545
3051200,5946
3051300,5526
3051400,7023
3051500,2451
3051601,5407
3051602,3874
3051700,2636
3051800,3528
3051900,6101
3052000,4175
3052300,5405
3052500,3720
3052600,4353
3052700,6045
3052800,1804
3052900,4299
3053000,3606
3053101,2997
3053102,5890
3053200,2510
3053300,7115
3053400,4777
3053500,4469
3053700,4304
3053800,5535
3053900,2668
3054200,4750
3054300,5
3054400,3785
3054500,7304
3054600,5409
3054700,7855
3054800,2189
3054900,4748
3055000,3956
3055100,6343
3055200,3735
3055300,3078
3055400,4813
3055500,8688
3055600,3880
3055700,1848
3055800,2736
3056000,3882
3056100,3460
3056200,1695
3056301,4923
3056302,2002
3056400,2626
3056500,3738
3056600,2548
3056800,1310
3056900,1624
3057000,3534
3057100,4267
3057200,5221
3057300,2590
3057400,2560
3057500,4902
3057600,2912
3057800,3332
3057901,1416
3057902,0
3058000,3502
3058200,3044
3058400,3797
3058600,2655
3058800,3532
3058901,1781
3058902,0
3059000,2014
3059100,3856
3059200,4268
3059300,2274
3059402,5105
3059403,3779
3059404,4426
3059600,2569
3059800,3617
3060000,6844
3060600,3178
3060800,4015
3061002,5064
3061003,2418
3061004,6669
3061200,1063
3061600,1854
3062000,1767
3062200,3325
3062600,3152
3062800,5222
3063200,1476
3063600,1317
3063800,1617
3064000,1620
3064200,2865
3064400,2702
3064600,2226
3064800,1993
3065000,1439
3065200,1197
3065400,1681
3065600,1795
3065800,1844
3066000,1762
3066200,1497
3066600,1
3067000,2876
3067200,1435
3067400,1992
3067600,1622
3067800,2874
3068000,1887
3068200,2489
3068600,1749
3068800,1706
3069000,1880
3069200,2512
3069601,3932
3069602,6275
3069800,1417
3070000,1650
3070201,6719
3070202,21
3070203,0
3070601,2703
3070602,4
3072000,2205
3072200,2893
3072400,1911
3072600,2582
3072800,3645
3073000,2170
3073200,2173
3073400,1818
3073600,3473
3073800,3290
3074000,3446
3074200,3023
3074400,2481
3074600,2100
3074800,1936
3075000,2928
3075200,1042
3075400,1402
3075600,1934
3075800,2005
3076000,2832
3076200,4391
3076400,3783
3076600,1990
3076800,4049
3077000,2776
3077200,3070
3077400,3029
3077600,3784
3078000,2197
3078200,4081
3078400,2441
3078601,2374
3078602,2073
3078801,2040
3078802,1328
3079001,1347
3079002,3769
3079201,1743
3079202,3171
3079400,2742
3079601,4125
3079602,4489
3079801,2957
3079802,5647
3080000,3562
3080200,4521
3080400,3327
3080600,3781
3080800,1940
3081000,2907
3081400,3121
3081600,2580
3081800,4830
3082000,5495
3082200,7201
3082400,4963
3082600,5165
3082800,4206
3083000,6167
3083200,2362
3083400,1733
3083600,2160
3083800,2226
3084000,2324
3084600,1986
3084800,1728
3085000,1509
3085200,32
3085400,1962
3085600,3568
3085800,2474
3086000,3809
3086200,3427
3086400,2499
3086600,3385
3086800,3413
3087000,3570
3087200,3128
3087401,3740
3087600,2098
3087800,2730
3088001,2127
3088002,1374
3088200,6804
3088400,5513
3088600,4547
3088800,4001
3089000,6683
3089200,3673
3089400,3834
3089600,4081
3089800,2329
3090000,5434
3090200,3817
3090600,4534
3090800,5893
3091000,5814
3091200,6572
3091600,5309
3091800,2703
3092000,3491
3092200,3031
3092400,3628
3092800,2861
3093000,2567
3093200,1277
3093400,2466
3093600,1854
3093800,2662
3094401,3447
3094402,2810
3094600,2079
3095000,3170
3095400,5156
3095600,4391
3095800,3770
3096000,6
3096200,1701
3096400,2621
3096600,2353
3096800,1555
3097000,2357
3097400,2911
3098200,4076
3098400,2074
3098600,2814
3098800,3083
3099000,1652
3099200,2056
3099400,2116
3099600,4052
3099800,4234
3100400,2901
3100600,2662
3100800,2189
3101000,2605
3101200,2115
3101400,2268
3101600,1551
3101800,2030
3102000,2186
3102200,2313
3102400,2257
3102600,2973
3102801,1754
3102802,5
3103401,3980
3103402,0
3105801,7013
3105804,6482
3107001,3543
3107002,0
3107003,0
3107800,4112
3109800,2290
3110400,5068
3110600,4558
3111000,3037
3111600,3434
3111800,3507
3112000,3480
3112200,3514
3112400,4288
3112600,4368
3112800,4461
3113000,4460
3113200,2427
3113400,2658
3114201,1880
3114202,2670
3114400,2414
3114600,3134
3115000,3123
3115200,3496
3115600,4452
3115800,3260
3116000,2630
3116200,2374
3116400,3275
3116600,3484
3116800,2273
3117000,1974
3117201,2602
3117202,4266
3117400,4331
3117601,2760
3117602,3492
3117800,1820
3118000,7
3118201,3345
3118202,3275
3118400,5434
3118600,3147
3118800,5156
3119000,2217
3119200,3636
3119400,4320
3119600,6458
3119800,3696
3120000,2873
3120200,1972
3120801,3999
3120802,3770
3120803,2010
3121000,3688
3121400,4100
3122000,6169
3123700,8586
3150200,2616
3152200,3287
3990100,0
4000101,4659
4000102,7484
4000103,33
4000104,27
4000200,3084
4000400,4918
4000600,4177
4000701,3460
4000702,4260
4000800,3580
4001000,3789
4001200,4183
4001400,4114
4001600,3041
4001800,3044
4001901,1434
4001902,8645
4001903,2214
4002000,1871
4002200,2290
4002400,2195
4002500,7242
4002600,2150
4002800,3304
4003000,1479
4003100,2157
4003200,1791
4003301,4399
4003302,2166
4003400,2442
4003600,4195
4003700,2
4003800,2490
4003900,1462
4004001,2403
4004002,1361
4004200,4505
4004300,2326
4004401,3916
4004500,3252
4004700,4090
4005000,0
4005100,2512
4005200,3080
4005300,5397
4005400,5609
4005500,1367
4005700,4277
4005800,6194
4005900,4231
4006100,6291
4006201,5389
4006202,6949
4006300,5877
4006501,3645
4006502,4004
4006900,5196
4007100,4355
4007300,4470
4007500,4477
4007700,2114
4007900,3628
4008100,1761
4008300,3515
4008500,1979
4008600,2989
4008700,5176
4008800,3449
4009100,2733
4009400,2919
4009500,2510
4009600,3127
4009700,3860
4009800,2631
4009900,0
4010000,3383
4010100,2654
4010200,2866
4010300,4150
4010400,3315
4010500,4641
4010600,3417
4010701,7
4010800,3034
4011000,3190
4011100,2902
4011200,2497
4011300,4280
4011400,1539
4011500,2414
4011600,2370
4011700,3840
4011800,2690
4011900,1729
4012000,2385
4012100,2177
4012200,2802
4012301,3272
4012400,2873
4012500,1735
4012601,2596
4012602,2715
4012800,2212
4013000,1757
4013200,1919
4013400,5904
4013500,1526
4013600,1994
4013700,1747
4013800,3785
4014000,3952
4014100,1645
4014201,4702
4014202,2870
4014300,4007
4014400,2005
4014500,2368
4014700,2933
4014800,2186
4014900,2477
4015000,2418
4015100,2675
4015200,2638
4015300,2131
4015400,2390
4015500,2344
4015600,3210
4015700,1655
4015801,3817
4015802,4607
4015900,4010
4016100,2291
4016300,4053
4016400,3306
4016600,3400
4016800,2764
4016900,5577
4017000,2504
4017101,36
4017102,27
4017200,2224
4017400,2423
4017600,2181
4017800,2084
4017901,986
4017902,124
4018000,1365
4018101,3836
4018102,3800
4018200,2540
4018300,6044
4018401,2174
4018402,2412
4018501,3502
4018502,3453
4018600,1802
4018700,3611
4018800,1510
4018900,3457
4019000,2445
